category	name	filename	info
tile	grass_ul	tile_0000.png	grass_tile_upper_left
tile	grass_u	tile_0001.png	grass_tile_upper
tile 	grass_ur	tile_0002.png	grass_tile_upper_right
tile	grass_uls	tile_0003.png	grass_tile_upper_left_singletile
character	player_sl	tile_0023.png	player_stand_left
character	player_sd	tile_0024.png	player_stand_down
character	player_su	tile_0025.png	player_stand_upper
character	player_sr	tile_0026.png	player_stand_right
character	player_wlr	tile_0050.png	player_walk_left_rightleg
character	player_wdr	tile_0051.png	player_walk_down_rightleg
character	player_wur	tile_0052.png	player_walk_upper_rightleg
character	player_wrr	tile_0053.png	player_walk_right_rightleg
character	player_wll	tile_0077.png	player_walk_left_leftleg
character	player_wdl	tile_0078.png	player_walk_down_leftleg
character	player_wul	tile_0079.png	player_walk_upper_leftleg
character	player_wrl	tile_0080.png	player_walk_rightleftleg
character	oldman_sd	tile_0186.png	oldman_stand_down
